transcript_id	gene_id
g10407.t1	g10407
g1041.t1	g1041
g1041.t2	g1041
g1041.t3	g1041
g10410.t1	g10410
g10413.t1	g10413
g10414.t1	g10414
g10415.t1	g10415
g10416.t1	g10416
g10417.t1	g10417
g1042.t1	g1042
g1042.t2	g1042
g1042.t3	g1042
g10423.t1	g10423
g10425.t1	g10425
g10430.t1	g10430
g10431.t1	g10431
g10432.t1	g10432
g10432.t2	g10432
g10434.t1	g10434
g10436.t1	g10436
g10437.t1	g10437
g10440.t1	g10440
g10443.t1	g10443
g10445.t1	g10445
g10448.t1	g10448
g10449.t1	g10449
g10451.t1	g10451
g10452.t1	g10452
g10454.t1	g10454
g10455.t1	g10455
g10456.t1	g10456
g10457.t1	g10457
g10458.t1	g10458
g10459.t1	g10459
g1046.t1	g1046
g10461.t1	g10461
g10461.t2	g10461
g10462.t1	g10462
g10463.t1	g10463
g10464.t1	g10464
g10466.t1	g10466
g10467.t1	g10467
g10468.t1	g10468
g1047.t1	g1047
g10471.t1	g10471
g10471.t2	g10471
g10473.t1	g10473
g10476.t1	g10476
g1048.t1	g1048
g10480.t1	g10480
g10482.t1	g10482
g10484.t1	g10484
g10485.t1	g10485
g10486.t1	g10486
g10487.t1	g10487
g10488.t1	g10488
g1049.t1	g1049
g10491.t1	g10491
g10492.t1	g10492
g10493.t1	g10493
g10494.t1	g10494
g10496.t1	g10496
g1050.t1	g1050
g1051.t1	g1051
g10510.t1	g10510
g10510.t2	g10510
g10512.t1	g10512
g10514.t1	g10514
g10515.t1	g10515
g10516.t1	g10516
g10517.t1	g10517
g10518.t1	g10518
g10518.t2	g10518
g10518.t3	g10518
g10518.t4	g10518
g10518.t5	g10518
g1052.t1	g1052
g10522.t1	g10522
g10524.t1	g10524
g1053.t1	g1053
g10538.t1	g10538
g1054.t1	g1054
g10543.t1	g10543
g10544.t1	g10544
g1055.t1	g1055
g10555.t1	g10555
g10556.t1	g10556
g10557.t1	g10557
g10558.t1	g10558
g10559.t1	g10559
g1056.t1	g1056
g10560.t1	g10560
g10561.t1	g10561
g10562.t1	g10562
g10563.t1	g10563
g10564.t1	g10564
g10565.t1	g10565
g10567.t1	g10567
g10568.t1	g10568
g10568.t2	g10568
g10569.t1	g10569
g1057.t1	g1057
g10571.t1	g10571
g10572.t1	g10572
g10573.t1	g10573
g10574.t1	g10574
g10577.t1	g10577
g10579.t1	g10579
g1058.t1	g1058
g10580.t1	g10580
g10581.t1	g10581
g10581.t2	g10581
g10581.t3	g10581
g10581.t4	g10581
g10583.t1	g10583
g10592.t1	g10592
g10593.t1	g10593
g10594.t1	g10594
g10597.t1	g10597
g10598.t1	g10598
g10599.t1	g10599
g10600.t1	g10600
g10603.t1	g10603
g10605.t1	g10605
g10606.t1	g10606
g10607.t1	g10607
g10609.t1	g10609
g10610.t1	g10610
g10614.t1	g10614
g10615.t1	g10615
g10616.t1	g10616
g10617.t1	g10617
g10618.t1	g10618
g10618.t2	g10618
g1062.t1	g1062
g10620.t1	g10620
g10621.t1	g10621
g10622.t1	g10622
g10623.t1	g10623
g10626.t1	g10626
g10626.t2	g10626
g10627.t1	g10627
g10629.t1	g10629
g10629.t2	g10629
g1063.t1	g1063
g10630.t1	g10630
g10631.t1	g10631
g10632.t1	g10632
g10633.t1	g10633
g1064.t1	g1064
g10654.t1	g10654
g10656.t1	g10656
g10657.t1	g10657
g1066.t1	g1066
g10662.t1	g10662
g1067.t1	g1067
g1067.t2	g1067
g10678.t1	g10678
g10679.t1	g10679
g10680.t1	g10680
g10681.t1	g10681
g10682.t1	g10682
g10682.t2	g10682
g10682.t3	g10682
g10684.t1	g10684
g10687.t1	g10687
g10688.t1	g10688
g10690.t1	g10690
g10691.t1	g10691
g10692.t1	g10692
g10693.t1	g10693
g10694.t1	g10694
g10695.t1	g10695
g10696.t1	g10696
g10696.t2	g10696
g10698.t1	g10698
g10699.t1	g10699
g10700.t1	g10700
g10703.t1	g10703
g10710.t1	g10710
g10712.t1	g10712
g10713.t1	g10713
g10714.t1	g10714
g10715.t1	g10715
g10716.t1	g10716
g1072.t1	g1072
g10721.t1	g10721
g10722.t1	g10722
g10723.t1	g10723
g10723.t2	g10723
g10724.t1	g10724
g10726.t1	g10726
g10729.t1	g10729
g1073.t1	g1073
g10731.t1	g10731
g10732.t1	g10732
g10733.t1	g10733
g10735.t1	g10735
g10738.t1	g10738
g10739.t1	g10739
g1074.t1	g1074
g10740.t1	g10740
g10741.t1	g10741
g10741.t2	g10741
g10742.t1	g10742
g10743.t1	g10743
g10743.t2	g10743
g10746.t1	g10746
g10747.t1	g10747
g10748.t1	g10748
g1075.t1	g1075
g10754.t1	g10754
g10754.t2	g10754
g10756.t1	g10756
g10757.t1	g10757
g10758.t1	g10758
g1076.t1	g1076
g10761.t1	g10761
g10762.t1	g10762
g10763.t1	g10763
g10766.t1	g10766
g10767.t1	g10767
g10768.t1	g10768
g10769.t1	g10769
g1077.t1	g1077
g10770.t1	g10770
g10770.t2	g10770
g10770.t3	g10770
g10771.t1	g10771
g10776.t1	g10776
g10777.t1	g10777
g10777.t2	g10777
g10778.t1	g10778
g10779.t1	g10779
g1078.t1	g1078
g10783.t1	g10783
g10783.t2	g10783
g10784.t1	g10784
g10785.t1	g10785
g10788.t1	g10788
g1079.t1	g1079
g1080.t1	g1080
g10807.t1	g10807
g1081.t1	g1081
g1082.t1	g1082
g10823.t1	g10823
g1083.t1	g1083
g10835.t1	g10835
g10836.t1	g10836
g1084.t1	g1084
g1085.t1	g1085
g1085.t2	g1085
g10850.t1	g10850
g10857.t1	g10857
g10857.t2	g10857
g10857.t3	g10857
g10858.t1	g10858
g1086.t1	g1086
g10860.t1	g10860
g10861.t1	g10861
g10862.t1	g10862
g10864.t1	g10864
g10865.t1	g10865
g10867.t1	g10867
g10868.t1	g10868
g1087.t1	g1087
g1087.t2	g1087
g10871.t1	g10871
g10872.t1	g10872
g10873.t1	g10873
g10873.t2	g10873
g10877.t1	g10877
g10878.t1	g10878
g10879.t1	g10879
g1088.t1	g1088
g10880.t1	g10880
g10885.t1	g10885
g10887.t1	g10887
g10887.t2	g10887
g1089.t1	g1089
g10892.t1	g10892
g10893.t1	g10893
g10896.t1	g10896
g10897.t1	g10897
g10899.t1	g10899
g1090.t1	g1090
g10901.t1	g10901
g10902.t1	g10902
g10902.t2	g10902
g10905.t1	g10905
g10913.t1	g10913
g10916.t1	g10916
g10918.t1	g10918
g10931.t1	g10931
g10933.t1	g10933
g10933.t2	g10933
g10934.t1	g10934
g10935.t1	g10935
g10937.t1	g10937
g10937.t2	g10937
g10939.t1	g10939
g10939.t2	g10939
g10941.t1	g10941
g10941.t2	g10941
g10942.t1	g10942
g10944.t1	g10944
g10944.t2	g10944
g10947.t1	g10947
g10949.t1	g10949
g10950.t1	g10950
g10954.t1	g10954
g10956.t1	g10956
g10959.t1	g10959
g10966.t1	g10966
g10968.t1	g10968
g10970.t1	g10970
g10971.t1	g10971
g10977.t1	g10977
g10983.t1	g10983
g10986.t1	g10986
g10986.t2	g10986
g10986.t3	g10986
g10987.t1	g10987
g10989.t1	g10989
g1099.t1	g1099
g1099.t2	g1099
g10991.t1	g10991
g10991.t2	g10991
g10992.t1	g10992
g10993.t1	g10993
g10994.t1	g10994
g10996.t1	g10996
g10998.t1	g10998
g11004.t1	g11004
g11006.t1	g11006
g11007.t1	g11007
g11008.t1	g11008
g11011.t1	g11011
g11013.t1	g11013
g11019.t1	g11019
g1102.t1	g1102
g11025.t1	g11025
g11031.t1	g11031
g11036.t1	g11036
g11037.t1	g11037
g11037.t2	g11037
g11038.t1	g11038
g11039.t1	g11039
g1104.t1	g1104
g11040.t1	g11040
g11041.t1	g11041
g11044.t1	g11044
g11046.t1	g11046
g11048.t1	g11048
g1105.t1	g1105
g1105.t2	g1105
g11051.t1	g11051
g11052.t1	g11052
g11053.t1	g11053
g11054.t1	g11054
g11055.t1	g11055
g11057.t1	g11057
g11058.t1	g11058
g11059.t1	g11059
g1106.t1	g1106
g11060.t1	g11060
g11066.t1	g11066
g11067.t1	g11067
g1107.t1	g1107
g11070.t1	g11070
g11071.t1	g11071
g11073.t1	g11073
g11074.t1	g11074
g11075.t1	g11075
g11075.t2	g11075
g11078.t1	g11078
g11079.t1	g11079
g1108.t1	g1108
g1108.t2	g1108
g1109.t1	g1109
g11091.t1	g11091
g11097.t1	g11097
g11097.t2	g11097
g11098.t1	g11098
g11101.t1	g11101
g11102.t1	g11102
g11105.t1	g11105
g11106.t1	g11106
g11106.t2	g11106
g11107.t1	g11107
g11107.t2	g11107
g11117.t1	g11117
g11118.t1	g11118
g11125.t1	g11125
g11126.t1	g11126
g11127.t1	g11127
g11128.t1	g11128
g1113.t1	g1113
g11130.t1	g11130
g11131.t1	g11131
g11132.t1	g11132
g11133.t1	g11133
g11137.t1	g11137
g11138.t1	g11138
g1114.t1	g1114
g11140.t1	g11140
g11145.t1	g11145
g11146.t1	g11146
g11147.t1	g11147
g11148.t1	g11148
g1115.t1	g1115
g11150.t1	g11150
g11151.t1	g11151
g11152.t1	g11152
g11153.t1	g11153
g11155.t1	g11155
g11158.t1	g11158
g1116.t1	g1116
g11161.t1	g11161
g11166.t1	g11166
g11167.t1	g11167
g11169.t1	g11169
g11176.t1	g11176
g1118.t1	g1118
g11182.t1	g11182
g11182.t2	g11182
g11186.t1	g11186
g1119.t1	g1119
g11190.t1	g11190
g11191.t1	g11191
g11192.t1	g11192
g11193.t1	g11193
g11195.t1	g11195
g11196.t1	g11196
g11197.t1	g11197
g11199.t1	g11199
g11199.t2	g11199
g11201.t1	g11201
g11202.t1	g11202
g11204.t1	g11204
g11205.t1	g11205
g11206.t1	g11206
g11206.t2	g11206
g11206.t3	g11206
g11207.t1	g11207
g11207.t2	g11207
g11208.t1	g11208
g11209.t1	g11209
g1121.t1	g1121
g11210.t1	g11210
g11211.t1	g11211
g11212.t1	g11212
g11212.t2	g11212
g11217.t1	g11217
g11220.t1	g11220
g11221.t1	g11221
g11222.t1	g11222
g11223.t1	g11223
g11225.t1	g11225
g11226.t1	g11226
g11227.t1	g11227
g11234.t1	g11234
g11234.t2	g11234
g11234.t3	g11234
g11235.t1	g11235
g11237.t1	g11237
g11239.t1	g11239
g11239.t2	g11239
g1124.t1	g1124
g11241.t1	g11241
g11242.t1	g11242
g11243.t1	g11243
g11244.t1	g11244
g11245.t1	g11245
g11246.t1	g11246
g11247.t1	g11247
g11247.t2	g11247
g11247.t3	g11247
g1125.t1	g1125
g11251.t1	g11251
g11256.t1	g11256
g11257.t1	g11257
g11258.t1	g11258
g11260.t1	g11260
g11260.t2	g11260
g11261.t1	g11261
g11262.t1	g11262
g11263.t1	g11263
g11264.t1	g11264
g11265.t1	g11265
g11266.t1	g11266
g11267.t1	g11267
g11268.t1	g11268
g11269.t1	g11269
g11270.t1	g11270
g11271.t1	g11271
g11274.t1	g11274
g11274.t2	g11274
g11277.t1	g11277
g11280.t1	g11280
g11284.t1	g11284
g11286.t1	g11286
g11287.t1	g11287
g11288.t1	g11288
g11289.t1	g11289
g1129.t1	g1129
g11290.t1	g11290
g11290.t2	g11290
g11290.t3	g11290
g11292.t1	g11292
g11293.t1	g11293
g11294.t1	g11294
